1 2 1 1	0.000	0.000
2 2 2 2	1.00	1.000
1 2 1 1	-1.00	1.000
3 1 3 1	1.00	-1.000
1 1 1 1	-1.00	-1.000
2 2 2 2	0.700	0.750
1 2 2 2	0.600	0.550
2 1 2 1	0.500	0.750
1 2 1 1	0.250	0.750
2 1 1 1	0.200	0.175
2 1 1 1	0.100	0.750
1 1 2 2	0.100	0.250
1 2 1 1	0.000	0.300
1 1 1 1	-0.700	0.750
1 1 1 1	-0.600	0.550
1 2 1 1	-0.500	0.750
1 1 2 1	-0.250	0.750
1 2 2 1	-0.200	0.175
1 1 2 2	-0.100	0.750
1 2 1 1	-0.100	0.250
1 3 1 1	0.700	-0.750
1 3 3 1	0.600	-0.550
1 1 3 1	0.500	-0.750
3 3 3 1	0.250	-0.750
1 3 3 1	0.200	-0.175
1 2 3 1	0.100	-0.750
1 2 2 3	0.100	-0.250
1 1 1 1	-0.700	-0.750
1 2 1 1	-0.600	-0.550
1 1 2 1	-0.500	-0.750
1 1 1 1	-0.250	-0.750
1 2 1 1	-0.200	-0.175
1 1 2 1	-0.100	-0.750
3 1 1 1	-0.100	-0.250
1 1 1 1	-0.000	-0.300
